Car_ID,min(totals),Car_Make,ranking
0,0,Chevy,156
1,6,Subaru,146
2,24,Bmw,100
3,84,Nissan,19
4,14,Honda,125
5,50,Acura,50
6,54,Volkswagen,46
7,30,Nissan,85
8,44,Nissan,58
9,,Nissan,166
10,34,Nissan,80
11,30,Nissan,89
12,62,Nissan,35
13,92,Honda,15
14,26,Nissan,93
15,120,Audi,3
16,10,Nissan,133
17,34,Mercedes,81
18,38,Audi,76
19,40,Mitsu,71
20,38,Infiniti,72
21,62,Subaru,33
22,24,Honda,103
23,62,Subaru,34
24,32,Subaru,84
25,78,Mercedes,21
28,8,Bmw,141
30,66,Hyundai,26
31,102,Honda,9
33,,Subaru,163
34,18,Honda,116
35,60,Honda,37
36,,Subaru,160
37,54,Subaru,44
38,62,Hyundai,36
39,72,Honda,23
40,6,Subaru,149
41,64,Acura,30
42,8,Dodge,140
43,54,Toyota,43
44,40,Honda,70
45,42,Acura,66
46,32,Volkswagen,83
48,62,Acura,32
49,42,Acura,65
50,102,Acura,8
51,50,Subaru,49
52,48,Mazda,55
53,60,Subaru,38
56,42,Volkswagen,64
57,80,Scion,20
59,,Volkswagen,161
63,86,Honda,17
64,,Subaru,167
65,106,Honda,7
66,4,Volkswagen,151
67,14,Subaru,121
68,10,Nissan,129
69,8,Subaru,144
70,0,Honda,157
71,6,Acura,150
72,4,Honda,152
74,8,Honda,143
75,6,Subaru,147
76,12,Subaru,128
78,36,Mazda,79
79,18,Mazda,114
81,24,Volkswagen,104
83,112,Honda,5
84,70,Mercedes,25
85,42,Honda,63
86,8,Volkswagen,145
88,48,Honda,53
89,16,Honda,118
91,102,Mitsu,10
92,30,Hyundai,88
93,22,Acura,106
94,10,Volkswagen,136
95,,Infiniti,159
96,10,Volkswagen,134
98,26,Mercedes,94
99,38,Honda,73
100,22,Volvo,108
101,0,Honda,155
102,10,Honda,130
103,72,Acura,24
104,48,Honda,54
106,78,Acura,22
108,14,Audi,122
110,58,Toyota,40
111,10,Bmw,131
112,110,Acura,6
113,116,Acura,4
114,26,Volkswagen,95
115,56,Honda,42
116,28,Audi,90
118,44,Honda,61
120,30,Ford,87
121,44,Acura,60
122,44,Infiniti,62
123,66,Lexus,27
124,124,Jeep,2
126,92,Volkswagen,14
127,86,Acura,16
128,128,Infiniti,1
130,24,Honda,101
134,52,Subaru,47
137,54,Ford,45
138,10,Mazda,135
140,44,Mitsu,59
141,26,Mazda,97
142,58,Toyota,39
144,28,Volkswagen,92
145,38,Volkswagen,74
150,22,Nissan,107
153,,Subaru,164
156,56,Volkswagen,41
158,64,Nissan,31
159,14,Hyundai,120
161,84,Nissan,18
162,36,Nissan,78
163,22,Mitsu,105
167,20,Ford,110
170,50,Chevy,51
172,22,Bmw,109
174,4,Acura,153
175,92,Honda,13
176,40,Mitsu,69
177,12,Volkswagen,127
178,,Honda,158
179,38,Volkswagen,75
180,,Volkswagen,165
181,30,Volkswagen,86
182,20,Volkswagen,112
183,16,Volkswagen,117
184,8,Volkswagen,139
185,8,Volkswagen,142
186,14,Volkswagen,124
187,26,Subaru,98
189,50,Toyota,52
190,10,Lexus,137
193,14,Nissan,126
197,2,Audi,154
200,36,Subaru,77
207,40,Honda,68
211,48,Acura,56
212,6,Lexus,148
216,96,Chrystler,11
218,64,Chevy,29
219,26,Ford,96
220,14,Audi,123
222,40,Lexus,67
225,52,Acura,48
226,18,Honda,115
228,92,Nissan,12
230,20,Acura,111
232,46,Subaru,57
235,20,Scion,113
237,10,Volkswagen,138
238,28,Volkswagen,91
241,24,Toyota,102
242,26,Nissan,99
243,10,Toyota,132
1051,66,Acura,28
4341,32,Nissan,82
Showcar,,Nissan,162
Vip,16,Volkswagen,119
